,clust,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
0,1,Washington,2763.519279,No,Basic,Bachelor,2/24/11,Employed,F,56274,Suburban,Married,69.0,32,5,0.0,1.0,Corporate Auto,Corporate L3,Offer1,Agent,384.811147,Two-Door Car,Medsize
1,0,Arizona,6979.535903,No,Extended,Bachelor,1/31/11,Unemployed,F,0,Suburban,Single,94.0,13,42,0.0,8.0,Personal Auto,Personal L3,Offer3,Agent,1131.464935,Four-Door Car,Medsize
2,1,Nevada,12887.43165,No,Premium,Bachelor,2/19/11,Employed,F,48767,Suburban,Married,108.0,18,38,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,566.4722469999999,Two-Door Car,Medsize
3,0,California,7645.861827,No,Basic,Bachelor,1/20/11,Unemployed,M,0,Suburban,Married,106.0,18,65,0.0,7.0,Corporate Auto,Corporate L2,Offer1,Call Center,529.881344,SUV,Medsize
4,1,Washington,2813.692575,No,Basic,Bachelor,3/2/2011,Employed,M,43836,Rural,Single,73.0,12,44,0.0,1.0,Personal Auto,Personal L1,Offer1,Agent,138.130879,Four-Door Car,Medsize
5,1,Oregon,8256.2978,Yes,Basic,Bachelor,1/25/11,Employed,F,62902,Rural,Married,69.0,14,94,0.0,2.0,Personal Auto,Personal L3,Offer2,Web,159.383042,Two-Door Car,Medsize
6,1,Oregon,5380.898636,Yes,Basic,College,2/24/11,Employed,F,55350,Suburban,Married,67.0,0,13,0.0,8.5,Corporate Auto,Corporate L3,Offer1,Agent,321.6,Four-Door Car,Medsize
7,0,Arizona,7216.100311,No,Premium,Master,1/18/11,Unemployed,M,0,Urban,Single,101.0,0,68,0.0,4.0,Corporate Auto,Corporate L3,Offer1,Agent,363.02968,Four-Door Car,Medsize
8,0,Oregon,16414.039911750002,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,14072,Suburban,Divorced,71.0,13,3,0.0,2.0,Corporate Auto,Corporate L3,Offer1,Agent,511.2,Four-Door Car,Medsize
9,2,Oregon,7388.178085,No,Extended,College,2/17/11,Employed,F,28812,Urban,Married,93.0,17,7,0.0,8.0,Special Auto,Special L2,Offer2,Branch,425.527834,Four-Door Car,Medsize
10,0,California,4738.992021999999,No,Basic,College,2/21/11,Unemployed,M,0,Suburban,Single,67.0,23,5,0.0,3.0,Personal Auto,Personal L3,Offer1,Agent,482.4,Four-Door Car,Small
11,0,California,8197.197078,No,Basic,College,6/1/2011,Unemployed,F,0,Suburban,Married,110.0,27,87,0.0,3.0,Personal Auto,Personal L3,Offer2,Agent,528.0,SUV,Medsize
12,3,California,8798.797003,No,Premium,Master,6/2/2011,Employed,M,77026,Urban,Married,110.0,9,82,0.0,3.0,Corporate Auto,Corporate L1,Offer2,Agent,472.029737,Four-Door Car,Medsize
13,3,Arizona,8819.018934,Yes,Basic,High School or Below,10/1/2011,Employed,M,99845,Suburban,Married,110.0,23,25,0.0,8.0,Corporate Auto,Corporate L3,Offer2,Branch,528.0,SUV,Medsize
14,3,California,5384.431665,No,Basic,College,1/18/11,Employed,M,83689,Urban,Single,70.0,21,10,0.0,8.0,Corporate Auto,Corporate L3,Offer4,Call Center,307.13913199999996,Four-Door Car,Medsize
15,2,Oregon,7463.1393769999995,No,Basic,Bachelor,1/17/11,Employed,F,24599,Rural,Married,64.0,12,50,0.0,2.0,Corporate Auto,Corporate L2,Offer2,Branch,42.920271,Four-Door Car,Medsize
16,2,Nevada,2566.867823,No,Basic,High School or Below,6/2/2011,Medical Leave,M,25049,Suburban,Married,67.0,14,7,0.0,1.0,Personal Auto,Personal L3,Offer2,Call Center,454.24509800000004,Two-Door Car,Medsize
17,2,California,3945.241604,No,Basic,College,5/1/2011,Medical Leave,M,28855,Suburban,Married,101.0,12,59,0.0,1.0,Personal Auto,Personal L2,Offer3,Call Center,647.4420309999999,SUV,Medsize
