,clust,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
0,0,28143.0,0.0,1,1,1,174.0,1.0,0.0,0.0,7000,0
1,0,19244.0,0.0,1,1,1,215.0,2.0,0.0,0.0,6968,0
2,0,41354.0,0.0,1,1,1,4123.0,4.0,0.0,0.0,7034,0
3,0,14776.0,0.0,1,1,1,500.0,1.0,0.0,0.0,6952,0
4,4,97752.0,0.0,4,1,1,43300.0,26.0,777.5,2.5,6935,1
5,0,16420.0,0.0,1,1,1,0.0,0.0,0.0,0.0,6942,0
6,1,84914.0,0.0,3,1,1,27482.0,25.0,0.0,0.0,6994,0
7,2,20856.0,0.0,1,1,1,5250.0,4.0,250.0,1.0,6938,1
8,4,203218.75,0.0,3,2,1,1753.0,38.0,777.5,2.5,6948,1
9,4,104860.0,0.0,3,1,1,28426.0,28.0,777.5,2.5,6931,1
10,0,40091.0,0.0,2,1,1,7278.0,10.0,0.0,0.0,6959,0
11,2,96522.0,0.0,5,1,1,57626.25,19.0,0.0,0.0,6924,1
12,0,43382.0,0.0,2,1,1,11150.0,20.0,0.0,0.0,6924,0
13,0,43097.0,0.0,1,1,1,3258.0,6.0,0.0,0.0,6918,0
14,0,17648.0,0.0,1,1,1,0.0,0.0,0.0,0.0,6912,0
15,2,28495.0,0.0,4,1,1,49442.0,15.0,0.0,0.0,6912,1
16,2,51890.0,0.0,4,1,1,48963.0,16.0,0.0,0.0,6910,1
17,2,13958.0,0.0,1,1,1,4291.0,5.0,0.0,0.0,6905,1
18,2,91473.0,0.0,3,1,1,27408.0,17.0,0.0,0.0,6903,1
19,2,23354.0,0.0,3,1,1,10447.0,5.0,0.0,0.0,6896,1
20,4,120576.0,0.0,5,1,1,57626.25,23.0,250.0,2.0,6896,1
21,3,185681.0,0.0,1,1,1,13300.0,16.0,777.5,2.5,6896,1
22,3,20584.0,0.0,1,1,1,3450.0,11.0,777.5,2.5,6884,0
23,0,66275.0,0.0,1,1,1,2533.0,11.0,150.0,1.0,6884,0
24,3,203218.75,0.0,1,1,1,4025.0,21.0,700.0,2.5,7932,0
25,0,20726.0,0.0,1,1,1,1375.0,4.0,0.0,0.0,7924,0
26,3,18521.0,0.0,1,1,1,1227.0,2.0,777.5,2.0,7917,0
27,0,8828.0,0.0,1,1,1,0.0,0.0,0.0,0.0,7914,0
28,2,59763.0,0.0,3,1,1,33772.0,20.0,100.0,1.0,7907,1
29,3,19221.0,0.0,1,1,1,4655.0,8.0,500.0,1.0,7896,1
30,1,177926.0,0.0,3,1,1,20797.0,13.0,0.0,0.0,7886,0
31,0,10021.0,0.0,1,1,1,0.0,0.0,0.0,0.0,7879,0
32,1,203218.75,0.0,4,1,1,42044.0,23.0,0.0,0.0,7872,0
33,0,18047.0,0.0,1,1,1,100.0,1.0,0.0,0.0,7868,0
34,0,43832.0,0.0,1,1,1,0.0,0.0,0.0,0.0,7865,0
35,4,123759.0,0.0,4,1,1,50572.0,23.0,777.5,2.5,7865,1
36,3,23193.0,0.0,1,1,1,650.0,4.0,550.0,2.5,7861,1
37,3,68666.0,0.0,1,1,1,350.0,2.0,350.0,2.0,7861,0
38,2,59990.0,0.0,3,1,1,27878.0,17.0,0.0,0.0,7854,1
39,2,2176.0,0.0,1,1,1,0.0,0.0,0.0,0.0,7847,1
40,0,34616.0,0.0,1,1,1,1750.0,4.0,500.0,1.0,7850,0
41,2,10470.0,0.0,4,1,1,38094.0,26.0,0.0,0.0,7840,1
42,3,60313.0,0.0,1,1,1,10000.0,26.0,777.5,2.5,7829,1
43,2,203218.75,0.0,3,1,1,15008.0,14.0,0.0,0.0,7819,1
44,1,121260.0,0.0,3,1,1,18493.0,18.0,0.0,0.0,7808,0
45,3,203218.75,0.0,1,1,1,23600.0,14.0,777.5,2.5,6884,1
46,0,92336.0,0.0,2,1,1,11214.0,6.0,0.0,0.0,6884,0
47,3,36924.0,0.0,1,1,1,5900.0,6.0,300.0,2.0,6879,1
48,4,70312.0,0.0,3,1,1,34678.0,24.0,500.0,1.0,6875,1
49,3,17051.0,0.0,1,1,1,1150.0,4.0,777.5,2.5,6868,0
50,3,108137.0,0.0,1,1,1,6368.0,5.0,777.5,2.5,6844,0
51,0,1300.0,0.0,1,1,1,370.0,1.0,0.0,0.0,6868,0
52,2,118531.0,0.0,4,1,1,44577.0,38.0,0.0,0.0,6868,1
53,3,121395.0,0.0,1,1,1,4970.0,8.0,650.0,2.0,6889,1
54,0,38348.0,0.0,1,1,1,0.0,0.0,0.0,0.0,6861,0
55,0,14448.0,0.0,1,1,1,1625.0,6.0,0.0,0.0,6856,0
56,1,75971.0,0.0,4,1,1,34339.0,14.0,0.0,0.0,6869,0
57,3,36298.0,0.0,1,1,1,3100.0,5.0,600.0,2.5,6865,1
58,1,38077.0,0.0,3,1,1,34024.0,8.0,0.0,0.0,6837,0
59,4,95118.0,0.0,3,1,1,23188.0,23.0,777.5,2.5,6865,1
60,1,134457.0,0.0,3,1,1,15588.0,14.0,0.0,0.0,6861,0
61,0,19918.0,0.0,1,1,1,17601.0,11.0,0.0,0.0,6863,0
62,0,10120.0,0.0,1,1,1,0.0,0.0,0.0,0.0,6864,0
63,1,203218.75,0.0,1,1,1,28079.0,8.0,0.0,0.0,6835,0
64,0,80250.0,0.0,1,1,1,895.0,2.0,0.0,0.0,6833,0
